,engine_rpm,engine_temp_c,oil_pressure_psi,engine_load_percent,throttle_pos_percent,vibration_level,brake_pedal_pos_percent,brake_temp_c,brake_fluid_level_psi,battery_voltage_v,battery_charge_percent,vehicle_speed_kph
engine_rpm,1.0,-0.027091687235107288,-0.014197304699916235,-0.007086671159242511,-0.006871126311177592,-0.05526111537116906,0.009085529012914378,-0.02699360871069835,0.032342265111324604,-0.003707272737431287,-0.04199198010073229,-0.004466145031088917
engine_temp_c,-0.027091687235107288,0.9999999999999999,-0.06733866691883578,-0.010579015118267142,0.03278911791639302,0.13711581667358438,0.005451532957375646,-0.00786797861084822,0.022515289497237145,0.011502402838894308,-0.040938849933588366,0.025687873157171665
oil_pressure_psi,-0.014197304699916237,-0.06733866691883578,0.9999999999999998,0.05732400723214764,0.003374993352400162,-0.1677906693894271,-0.061499131371300725,0.030051827201139122,-0.004477425002861329,0.0050718740321634035,0.020956485638627547,-0.006228495275775019
engine_load_percent,-0.007086671159242512,-0.010579015118267142,0.05732400723214764,0.9999999999999998,0.006565880963935407,-0.043143004530516546,0.03143721422540676,-0.04725872228499376,0.0015187480089927097,-0.01356082106103825,0.04937670789743797,-0.021077311290972678
throttle_pos_percent,-0.0068711263111775915,0.03278911791639302,0.003374993352400162,0.006565880963935407,1.0,0.03462907587425993,-0.0063468519311479735,0.006579336984458169,-0.01895277582889587,0.07064341583049055,0.024788971305501,0.016643434530268248
vibration_level,-0.05526111537116906,0.13711581667358438,-0.16779066938942708,-0.04314300453051654,0.03462907587425993,0.9999999999999998,0.004983702896180595,0.022381759148397167,-0.019833042114836833,0.043017911005020996,0.012525226705842244,0.0006091603779404772
brake_pedal_pos_percent,0.009085529012914378,0.005451532957375646,-0.06149913137130073,0.03143721422540676,-0.0063468519311479735,0.004983702896180595,0.9999999999999999,0.006987641131458909,0.03989563629629315,0.021072054757498033,-0.011031077781619943,-0.012425277053813424
brake_temp_c,-0.026993608710698346,-0.00786797861084822,0.030051827201139122,-0.04725872228499376,0.006579336984458169,0.022381759148397167,0.006987641131458909,1.0,-0.2844140676664466,0.007532174367558053,-0.011521657635566462,-0.014779366596082052
brake_fluid_level_psi,0.032342265111324604,0.02251528949723714,-0.004477425002861329,0.00151874800899271,-0.018952775828895867,-0.01983304211483683,0.03989563629629315,-0.28441406766644667,0.9999999999999999,0.01502330124817895,0.022393390929142935,0.015414311000117167
battery_voltage_v,-0.0037072727374312876,0.011502402838894308,0.0050718740321634035,-0.01356082106103825,0.07064341583049055,0.043017911005020996,0.021072054757498036,0.007532174367558054,0.015023301248178952,1.0,0.011981283035053147,0.05510658937328389
battery_charge_percent,-0.04199198010073229,-0.040938849933588366,0.020956485638627547,0.04937670789743797,0.024788971305501,0.012525226705842243,-0.011031077781619943,-0.011521657635566462,0.022393390929142932,0.011981283035053145,1.0,0.028196698128766226
vehicle_speed_kph,-0.004466145031088917,0.02568787315717166,-0.006228495275775019,-0.021077311290972678,0.016643434530268248,0.0006091603779404772,-0.012425277053813424,-0.014779366596082052,0.015414311000117168,0.05510658937328389,0.02819669812876623,1.0
